"language","language_glottolog","id","name","latitude","longitude","family_id","family_name"
"Khmer ","Central Khmer","cent1989","Central Khmer",12.0515,105.015,"aust1305","Austroasiatic"
"Albanian ","Northern Tosk Albanian","tosk1239","Northern Tosk Albanian",41,20,"indo1319","Indo-European"
"Apatani ","Apatani","apat1240","Apatani",27.1933,93.7284,"sino1245","Sino-Tibetan"
"Pipil ","Pipil","pipi1250","Pipil",13.8931,-89.443,"utoa1244","Uto-Aztecan"
"Chamorro ","Chamorro","cham1312","Chamorro",13.438011,144.74474,"aust1307","Austronesian"
"Yine ","Yine","yine1238","Yine",-11.1086,-73.3087,"araw1281","Arawakan"
"Movima ","Movima","movi1243","Movima",-13.8115,-65.6348,"","isolate"
"Mambay ","Mambai","mamb1294","Mambai",9.6121,14.0013,"atla1278","Atlantic-Congo"
"Bunoge Dogon ","Bunoge Dogon","buno1241","Bunoge Dogon",14.43,-3.49,"dogo1299","Dogon"
"Abau ","Abau","abau1245","Abau",-3.97222,141.324,"sepi1257","Sepik"
"Awtuw ","Awtuw","awtu1239","Awtuw",-3.53129,141.928,"sepi1257","Sepik"
"Kaba ","Kaba","kaba1281","Kaba",7.64972,16.7344,"cent2225","Central Sudanic"
"Koyra Chiini ","Koyra Chiini Songhay","koyr1240","Koyra Chiini Songhay",16.192,-3.73962,"song1307","Songhay"
"Zialo ","Zialo","zial1235","Zialo",8.43,-9.51,"mand1469","Mande"
"Bangime ","Bangime","bang1363","Bangime",14.8116,-3.77092,"","isolate"
"Bunaq ","Bunak","buna1278","Bunak",-9.13618,125.216,"timo1261","Timor-Alor-Pantar"
"Koyraboro Senni ","Koyraboro Senni Songhai","koyr1242","Koyraboro Senni Songhai",16.9634,-0.55187,"song1307","Songhay"
"Otomí, Sierra ","East Highland Otomi","east2556","Eastern Highland Otomi",20.5991,-98.0978,"otom1299","Otomanguean"
"Tswana ","Tswana","tswa1253","Tswana",-24.368,24.7587,"atla1278","Atlantic-Congo"
"Dii ","Dii","diii1241","Dii",7.77412,13.9884,"atla1278","Atlantic-Congo"
"Yucatec Maya ","Yucatec Maya","yuca1254","Yucatec Maya",18.7757,-88.9567,"maya1287","Mayan"
"Adyghe ","Adyghe","adyg1241","Adyghe",44,39.33,"abkh1242","Abkhaz-Adyge"
"Ewe ","Ewe","ewee1241","Ewe",6.46061,0.814975,"atla1278","Atlantic-Congo"
"Cubeo ","Cubeo","cube1242","Cubeo",1.32382,-70.1939,"tuca1253","Tucanoan"
"Angolar ","Angolar","ango1258","Angolar",0.11438,6.59486,"indo1319","Indo-European"
"Supyire Senoufo ","Supyire Senoufo","supy1237","Supyire Senoufo",11.632,-5.87709,"atla1278","Atlantic-Congo"
"Gonja ","Gonja","gonj1241","Gonja",8.48801,-0.72757,"atla1278","Atlantic-Congo"
"Sango ","Sango","sang1328","Sango",6.78584,20.1702,"atla1278","Atlantic-Congo"
"Penange ","Penange","pena1270","Penange",14.38,-4.03,"dogo1299","Dogon"
"Hmong Njua ","Hmong Njua","hmon1264","Hmong Njua",22.5638,101.95,"hmon1336","Hmong-Mien"
"Ch’ol, Tila ","Chol","chol1282","Chol",17.4897,-92.4698,"maya1287","Mayan"
" Nahuatl, Guerrero ","Central Guerrero Nahuatl","guer1241","Central Guerrero Nahuatl",17.8583,-99.0023,"utoa1244","Uto-Aztecan"
"Òṇìc̣hà Igbo ","Igbo","nucl1417","Igbo",4.62705,7.23441,"atla1278","Atlantic-Congo"
"Fon ","Fon","fonn1241","Fon",7.15484,1.66495,"atla1278","Atlantic-Congo"
"	Kabiyé ","Kabiy�","kabi1261","Kabiyé",8.96816,0.495023,"atla1278","Atlantic-Congo"
"Bambara ","Bambara","bamb1269","Bambara",12.9,-7.65,"mand1469","Mande"
"Susu ","Susu","susu1250","Susu",10.4046,-13.3628,"mand1469","Mande"
"Loma ","Loma (Liberia)","loma1260","Loma (Liberia)",7.91585,-9.69906,"mand1469","Mande"
